AT5G15680.1,ARM repeat superfamily protein
AT3G29030.1,expansin A5
AT5G08260.1,serine carboxypeptidase-like 35
AT3G22520.1,"unknown protein;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast stroma, chloroplast, chloroplast envelope;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 13 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G14840.1);Has 717 Blast hits to 703 proteins in 179 species: Archae - 14;Bacteria - 134;Metazoa - 141;Fungi - 74;Plants - 209;Viruses - 0;Other Eukaryotes - 145 (source: NCBI BLink)."
AT3G28460.1,methyltransferases
AT5G24260.1,prolyl oligopeptidase family protein
AT5G08060.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: mitochondrion;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 16 growth stages;Has 42 Blast hits to 42 proteins in 17 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 41;Viruses - 0;Other Eukaryotes - 1 (source: NCBI BLink).
AT2G24020.1;AT2G24020.2,"Uncharacterised BCR, YbaB family COG0718;Uncharacterised BCR, YbaB family COG0718"
AT4G17370.1,Oxidoreductase family protein
AT4G08520.1,SNARE-like superfamily protein
AT5G61780.1,TUDOR-SN protein 2
AT5G18100.1;AT5G18100.2,copper/zinc superoxide dismutase 3
AT5G08650.1,Small GTP-binding protein
AT3G44110.1,DNAJ homologue 3
AT4G20150.1,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: mitochondrion, plasma membrane, mitochondrial respiratory chain complex I, respiratory chain complex I;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 15 growth stages;Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink)."
AT1G18060.1,unknown protein;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;Has 74 Blast hits to 74 proteins in 29 species: Archae - 0;Bacteria - 19;Metazoa - 0;Fungi - 0;Plants - 49;Viruses - 0;Other Eukaryotes - 6 (source: NCBI BLink).
AT5G67130.1,PLC-like phosphodiesterases superfamily protein
AT1G33680.1,KH domain-containing protein
AT1G66840.1,Plant protein of unknown function (DUF827)
AT3G06040.1;AT3G06040.2;AT3G06040.3,Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein
AT5G51280.1,"DEAD-box protein abstrakt, putative"
AT1G24300.1;AT1G24300.2,GYF domain-containing protein
AT3G05530.1,regulatory particle triple-A ATPase 5A
AT3G20630.1,ubiquitin-specific protease 14
AT2G31570.1,glutathione peroxidase 2
AT1G66250.1,O-Glycosyl hydrolases family 17 protein
AT5G56940.1,Ribosomal protein S16 family protein
AT5G58260.1,"oxidoreductases, acting on NADH or NADPH, quinone or similar compound as acceptor"
AT1G20330.1,sterol methyltransferase 2
AT3G02530.1,TCP-1/cpn60 chaperonin family protein
AT2G27140.1,HSP20-like chaperones superfamily protein
AT2G41790.1,Insulinase (Peptidase family M16) family protein
AT5G16590.1,Leucine-rich repeat protein kinase family protein
AT1G77180.1;AT1G77180.2,chromatin protein family
AT1G55830.2,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: cellular_component unknown;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF812 (InterPro:IPR008530).
AT3G54860.1;AT3G54860.2,Sec1/munc18-like (SM) proteins superfamily
AT1G08830.1;AT1G08830.2,copper/zinc superoxide dismutase 1
AT5G43745.1,Protein of unknown function (DUF1012)
AT5G22510.1,alkaline/neutral invertase
AT3G51130.1,unknown protein;CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0183 (InterPro:IPR005373);Has 269 Blast hits to 265 proteins in 123 species: Archae - 0;Bacteria - 0;Metazoa - 131;Fungi - 82;Plants - 37;Viruses - 0;Other Eukaryotes - 19 (source: NCBI BLink).
AT1G60650.1;AT1G60650.2,RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain
AT2G38580.1,Mitochondrial ATP synthase D chain-related protein
AT3G46740.1,translocon at the outer envelope membrane of chloroplasts 75-III
AT4G33670.1,NAD(P)-linked oxidoreductase superfamily protein
AT1G06290.1,acyl-CoA oxidase 3
AT5G42770.1;AT5G42770.2,Maf-like protein
AT3G14790.1,rhamnose biosynthesis 3
AT5G11880.1,Pyridoxal-dependent decarboxylase family protein
AT4G04840.1,methionine sulfoxide reductase B6
AT5G22050.1;AT5G22050.2,Protein kinase superfamily protein
AT4G09010.1,ascorbate peroxidase 4
AT4G28660.1;AT4G28660.2,photosystem II reaction center PSB28 protein
AT4G21100.1,damaged DNA binding protein 1B
AT2G22795.1,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G37820.1);Has 799854 Blast hits to 188815 proteins in 4452 species: Archae - 4529;Bacteria - 144236;Metazoa - 287749;Fungi - 87083;Plants - 43826;Viruses - 3662;Other Eukaryotes - 228769 (source: NCBI BLink).
AT5G38470.1,Rad23 UV excision repair protein family
AT1G09750.1,Eukaryotic aspartyl protease family protein
AT5G58090.1,O-Glycosyl hydrolases family 17 protein
AT2G36460.1,Aldolase superfamily protein
AT1G44835.1,YbaK/aminoacyl-tRNA synthetase-associated domain
AT1G49820.1,S-methyl-5-thioribose kinase
AT1G48320.1,Thioesterase superfamily protein
AT2G36880.1;AT2G36880.2,methionine adenosyltransferase 3
AT1G56070.1,Ribosomal protein S5/Elongation factor G/III/V family protein
AT5G58430.1,exocyst subunit exo70 family protein B1
AT2G44525.1;AT3G60150.1,Protein of unknown function (DUF498/DUF598)
AT5G20070.1,nudix hydrolase homolog 19
AT2G43410.1;AT2G43410.2;AT2G43410.3;AT2G43410.4,RNA binding
AT1G47200.1,WPP domain protein 2
AT5G19350.1;AT5G19350.2,RNA-binding (RRM/RBD/RNP motifs) family protein
AT3G54210.1,Ribosomal protein L17 family protein
AT5G64840.1,general control non-repressible 5
AT4G31810.1,ATP-dependent caseinolytic (Clp) protease/crotonase family protein
AT3G09210.1,plastid transcriptionally active 13
AT3G43240.1,ARID/BRIGHT DNA-binding domain-containing protein
AT3G63250.1,homocysteine methyltransferase 2
AT1G75660.1,5'-3' exoribonuclease 3
AT4G26300.1,"Arginyl-tRNA synthetase, class Ic"
AT1G61580.1,R-protein L3 B
AT5G46790.1,PYR1-like 1
AT3G06810.1,acyl-CoA dehydrogenase-related
AT5G03370.1,acylphosphatase family
AT1G37130.1,nitrate reductase 2
AT3G03960.1,TCP-1/cpn60 chaperonin family protein
AT1G53880.1;AT1G53900.1,Eukaryotic translation initiation factor 2B (eIF-2B) family protein
AT1G27900.1,RNA helicase family protein
AT1G04080.1;AT1G04080.3,Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G49480.1,related to vernalization1 1
AT3G12110.1,actin-11
AT3G02650.1,Tetratricopeptide repeat (TPR)-like superfamily protein
AT3G50210.1;AT3G50210.3,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT5G51430.1,conserved oligomeric Golgi complex component-related / COG complex component-related
AT2G23070.1,Protein kinase superfamily protein
AT1G22920.1,COP9 signalosome 5A
AT5G23570.1,XS domain-containing protein / XS zinc finger domain-containing protein-related
AT3G20820.1,Leucine-rich repeat (LRR) family protein
AT1G33520.1,D111/G-patch domain-containing protein
AT4G35250.1,NAD(P)-binding Rossmann-fold superfamily protein
AT3G16270.1,ENTH/VHS family protein
AT1G25420.1,Regulator of Vps4 activity in the MVB pathway protein
AT5G59610.1,Chaperone DnaJ-domain superfamily protein
AT4G35310.1,calmodulin-domain protein kinase 5
AT1G17650.1,glyoxylate reductase 2
AT1G14610.1,valyl-tRNA synthetase / valine--tRNA ligase (VALRS)
AT3G20390.1,endoribonuclease L-PSP family protein
AT1G08460.1,histone deacetylase 8
AT5G19150.1;AT5G19150.2,pfkB-like carbohydrate kinase family protein
AT1G76550.1,Phosphofructokinase family protein
AT4G02350.1,exocyst complex component sec15B
AT3G19870.1,unknown protein;Has 84 Blast hits to 64 proteins in 35 species: Archae - 0;Bacteria - 0;Metazoa - 31;Fungi - 0;Plants - 24;Viruses - 0;Other Eukaryotes - 29 (source: NCBI BLink).
AT5G02130.1,Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G51510.1,RNA-binding (RRM/RBD/RNP motifs) family protein
AT3G17850.1,Protein kinase superfamily protein
AT4G14570.1,acylaminoacyl-peptidase-related
AT1G74790.1,catalytics
AT5G52100.1,"Dihydrodipicolinate reductase, bacterial/plant"
AT3G09580.1,FAD/NAD(P)-binding oxidoreductase family protein
AT3G25920.1,ribosomal protein L15
AT4G32330.1;AT4G32330.2;AT4G32330.3,TPX2 (targeting protein for Xklp2) protein family
AT1G36160.1;AT1G36160.2,acetyl-CoA carboxylase 1
AT5G64050.1,glutamate tRNA synthetase
AT4G25670.1;AT4G25670.2,"unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G25690.2);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).;unknown protein;LOCATED IN: cellular_component unknown;EXPRESSED IN: male gametophyte, pollen tube;EXPRESSED DURING: M germinated pollen stage;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G25690.2)."
ATCG00160.1,ribosomal protein S2
AT2G30660.1,ATP-dependent caseinolytic (Clp) protease/crotonase family protein
AT1G10270.1,glutamine-rich protein 23
AT3G01740.1,Mitochondrial ribosomal protein L37
AT3G12010.1,"FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;EXPRESSED IN: sperm cell, cultured cell;CONTAINS InterPro DOMAIN/s: Colon cancer-associated Mic1-like (InterPro:IPR009755);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink)."
AT5G06110.1;AT5G06110.2,DnaJ domain;Myb-like DNA-binding domain;DnaJ domain;Myb-like DNA-binding domain
AT5G11330.1,FAD/NAD(P)-binding oxidoreductase family protein
AT3G28700.1;AT3G28700.2,Protein of unknown function (DUF185)
AT5G24165.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G23885.1);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT4G09320.1,Nucleoside diphosphate kinase family protein
AT3G09630.1,Ribosomal protein L4/L1 family
AT1G27530.1,"CONTAINS InterPro DOMAIN/s: Ubiquitin-conjugating enzyme/RWD-like (InterPro:IPR016135), Ubiquitin-fold modifier-conjugating enzyme 1 (InterPro:IPR014806);Has 269 Blast hits to 269 proteins in 110 species: Archae - 0;Bacteria - 0;Metazoa - 175;Fungi - 0;Plants - 42;Viruses - 0;Other Eukaryotes - 52 (source: NCBI BLink)."
AT3G52180.1,dual specificity protein phosphatase (DsPTP1) family protein
AT5G58030.1,Transport protein particle (TRAPP) component
AT5G18230.2,transcription regulator NOT2/NOT3/NOT5 family protein
AT1G69295.1,plasmodesmata callose-binding protein 4
AT5G62600.1,ARM repeat superfamily protein
AT2G33800.1,Ribosomal protein S5 family protein
AT2G47450.1,chloroplast signal recognition particle component (CAO)
AT4G32460.1;AT4G32460.2,"Protein of unknown function, DUF642;Protein of unknown function, DUF642"
AT1G24100.1,UDP-glucosyl transferase 74B1
AT1G03475.1,Coproporphyrinogen III oxidase
AT5G15550.1,Transducin/WD40 repeat-like superfamily protein
AT3G21300.1,RNA methyltransferase family protein
AT1G78340.1,glutathione S-transferase TAU 22
AT3G44890.1,ribosomal protein L9
AT2G17340.1,Uncharacterised conserved protein (UCP030210)
AT2G47330.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT2G22230.1,Thioesterase superfamily protein
AT1G61150.1;AT1G61150.2;AT1G61150.4;AT1G61150.5;AT1G61150.6,LisH and RanBPM domains containing protein
AT4G29220.1,phosphofructokinase 1
AT3G14090.1,exocyst subunit exo70 family protein D3
AT1G69200.1,fructokinase-like 2
AT2G33600.1,NAD(P)-binding Rossmann-fold superfamily protein
AT4G04890.1;AT4G21750.1;AT4G21750.2,protodermal factor 2;Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein;Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
AT2G21170.1,triosephosphate isomerase
AT2G21280.1,NAD(P)-binding Rossmann-fold superfamily protein
AT5G13990.1,exocyst subunit exo70 family protein C2
AT5G38520.1;AT5G38520.2,alpha/beta-Hydrolases superfamily protein
AT4G01650.1;AT4G01650.2,Polyketide cyclase / dehydrase and lipid transport protein
AT3G28950.1,AIG2-like (avirulence induced gene) family protein
AT4G14880.1;AT4G14880.2;AT4G14880.3;AT4G14880.4,O-acetylserine (thiol) lyase (OAS-TL) isoform A1
AT2G20690.1,lumazine-binding family protein
AT4G04910.1,AAA-type ATPase family protein
AT5G65180.1,ENTH/VHS family protein
AT2G21580.1;AT2G21580.2,Ribosomal protein S25 family protein
AT3G06670.1;AT3G06670.2,binding
AT5G56660.1,IAA-leucine resistant (ILR)-like 2
AT3G13060.2,evolutionarily conserved C-terminal region 5
AT5G53310.1,myosin heavy chain-related
AT5G08740.1,NAD(P)H dehydrogenase C1
AT2G23140.1;AT2G23140.2,RING/U-box superfamily protein with ARM repeat domain
AT3G56150.1;AT3G56150.2,eukaryotic translation initiation factor 3C
AT1G08780.1,ABI3-interacting protein 3
AT3G02450.1,"cell division protein ftsH, putative"
AT1G25320.1,Leucine-rich repeat protein kinase family protein
AT4G22670.1,HSP70-interacting protein 1
AT3G45850.1;AT3G45850.2,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G48230.2,acetoacetyl-CoA thiolase 2
AT4G17050.1,ureidoglycine aminohydrolase
AT2G20020.1,RNA-binding CRS1 / YhbY (CRM) domain-containing protein
AT2G39670.1,Radical SAM superfamily protein
AT3G17970.1,translocon at the outer membrane of chloroplasts 64-III
AT5G36890.1;AT5G36890.2,beta glucosidase 42
AT3G03990.1,alpha/beta-Hydrolases superfamily protein
AT2G47240.1;AT2G47240.2,AMP-dependent synthetase and ligase family protein
AT3G48690.1,alpha/beta-Hydrolases superfamily protein
AT1G79720.1,Eukaryotic aspartyl protease family protein
AT4G34110.1,poly(A) binding protein 2
AT2G46020.1;AT2G46020.2,"transcription regulatory protein SNF2, putative;transcription regulatory protein SNF2, putative"
AT1G32500.1,non-intrinsic ABC protein 6
AT2G25970.1,KH domain-containing protein
AT4G36250.1,aldehyde dehydrogenase 3F1
AT3G53520.1;AT3G53520.2;AT3G53520.4,UDP-glucuronic acid decarboxylase 1
AT5G44520.1,NagB/RpiA/CoA transferase-like superfamily protein
AT5G39340.1,histidine-containing phosphotransmitter 3
AT2G28000.1,chaperonin-60alpha
AT1G78300.1,general regulatory factor 2
AT4G26700.1;AT4G26700.2;AT4G26700.3,fimbrin 1
AT1G20540.1,Transducin/WD40 repeat-like superfamily protein
AT5G46280.1,Minichromosome maintenance (MCM2/3/5) family protein
AT2G43120.1,RmlC-like cupins superfamily protein
AT1G53730.1;AT1G53730.2,STRUBBELIG-receptor family 6
AT2G36530.1,Enolase
AT5G54160.1,O-methyltransferase 1
AT3G18190.1,TCP-1/cpn60 chaperonin family protein
AT5G14200.1,isopropylmalate dehydrogenase 1
AT2G45290.1,Transketolase
AT5G22330.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G29900.1,carbamoyl phosphate synthetase B
AT1G15930.1;AT1G15930.2,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
AT1G72550.1;AT1G72550.2,tRNA synthetase beta subunit family protein
AT5G26780.1,serine hydroxymethyltransferase 2
AT3G59920.1,RAB GDP dissociation inhibitor 2
AT3G01640.1,glucuronokinase G
AT2G20190.1,CLIP-associated protein
AT1G62780.1,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast, chloroplast stroma;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 14 growth stages;Has 94 Blast hits to 94 proteins in 35 species: Archae - 6;Bacteria - 10;Metazoa - 21;Fungi - 2;Plants - 48;Viruses - 0;Other Eukaryotes - 7 (source: NCBI BLink)."
AT2G46520.1,"cellular apoptosis susceptibility protein, putative / importin-alpha re-exporter, putative"
AT3G05350.1,Metallopeptidase M24 family protein
AT5G19180.1,E1 C-terminal related 1
AT4G35570.1,high mobility group B5
AT4G13850.1;AT4G13850.2;AT4G13850.3,glycine-rich RNA-binding protein 2
AT1G62380.1,ACC oxidase 2
AT3G13470.1,TCP-1/cpn60 chaperonin family protein
AT2G40610.1,expansin A8
AT5G30510.1,ribosomal protein S1
AT3G01660.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT3G63490.1,Ribosomal protein L1p/L10e family
AT4G10040.1,cytochrome c-2
AT4G39235.1,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G05570.1);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT5G06860.1,polygalacturonase inhibiting protein 1
AT1G76100.1,plastocyanin 1
AT2G01970.1,Endomembrane protein 70 protein family
AT2G39900.1,GATA type zinc finger transcription factor family protein
AT1G35680.1,Ribosomal protein L21
AT1G77870.1,membrane-anchored ubiquitin-fold protein 5 precursor
AT3G29160.1;AT3G29160.2,SNF1 kinase homolog 11
AT1G77710.1,"CONTAINS InterPro DOMAIN/s: Ubiquitin-like, Ufm1 (InterPro:IPR005375);Has 244 Blast hits to 244 proteins in 106 species: Archae - 0;Bacteria - 0;Metazoa - 149;Fungi - 0;Plants - 47;Viruses - 0;Other Eukaryotes - 48 (source: NCBI BLink)."
AT4G02080.1,secretion-associated RAS super family 2
AT4G17090.1,chloroplast beta-amylase
AT3G22170.1;AT3G22170.2,far-red elongated hypocotyls 3
AT4G25550.1,"Cleavage/polyadenylation specificity factor, 25kDa subunit"
AT4G37910.1,mitochondrial heat shock protein 70-1
AT3G09940.1;AT3G09940.2,monodehydroascorbate reductase
AT3G20790.1,NAD(P)-binding Rossmann-fold superfamily protein
AT2G42810.1,protein phosphatase 5.2
ATCG00780.1,ribosomal protein L14
AT5G59870.1,histone H2A 6
AT1G18150.1;AT1G18150.2;AT1G18150.3,Protein kinase superfamily protein
AT5G23050.1,acyl-activating enzyme 17
AT3G46220.1;AT3G46220.2;AT3G46220.3,unknown protein;CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2042 (InterPro:IPR018611);Has 559 Blast hits to 533 proteins in 154 species: Archae - 3;Bacteria - 32;Metazoa - 305;Fungi - 42;Plants - 50;Viruses - 3;Other Eukaryotes - 124 (source: NCBI BLink).;unknown protein;INVOLVED IN: biological_process unknown;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2042 (InterPro:IPR018611).;unknown protein;INVOLVED IN: biological_process unknown;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2042 (InterPro:IPR018611).
AT2G30140.1;AT2G30140.2,UDP-Glycosyltransferase superfamily protein
AT3G51310.1,VPS35 homolog C
AT5G36170.1;AT5G36170.2,high chlorophyll fluorescent 109
AT4G25720.1;AT4G25720.2;AT4G25720.3,glutaminyl cyclase
ATMG00070.1,NADH dehydrogenase subunit 9
AT3G54170.1,FKBP12 interacting protein 37
AT4G31500.1,"cytochrome P450, family 83, subfamily B, polypeptide 1"
AT3G60740.1,ARM repeat superfamily protein
AT5G58060.1;AT5G58060.2,SNARE-like superfamily protein
AT4G16210.1,enoyl-CoA hydratase/isomerase A
AT4G37920.1,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast thylakoid membrane, chloroplast, chloroplast envelope;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G36320.1);Has 123 Blast hits to 120 proteins in 40 species: Archae - 2;Bacteria - 11;Metazoa - 8;Fungi - 0;Plants - 85;Viruses - 0;Other Eukaryotes - 17 (source: NCBI BLink)."
AT1G60990.1;AT1G60990.2;AT1G60990.3,Glycine cleavage T-protein family
AT1G01910.1;AT1G01910.2;AT1G01910.4,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G42970.1,glyceraldehyde-3-phosphate dehydrogenase B subunit
AT5G38640.1,NagB/RpiA/CoA transferase-like superfamily protein
AT4G32720.1;AT4G32720.2,La protein 1
AT4G00530.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: mitochondrion;EXPRESSED IN: 19 plant structures;EXPRESSED DURING: 9 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G01725.1);Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0;Bacteria - 0;Metazoa - 736;Fungi - 347;Plants - 385;Viruses - 0;Other Eukaryotes - 339 (source: NCBI BLink).
AT4G37925.1,subunit NDH-M of NAD(P)H:plastoquinone dehydrogenase complex
AT2G21390.1,"Coatomer, alpha subunit"
AT1G49740.1,PLC-like phosphodiesterases superfamily protein
AT3G08590.1;AT3G08590.2,"Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent;Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent"
AT5G09810.1,actin 7
AT1G08970.1;AT1G08970.2;AT1G08970.3;AT1G08970.4,"nuclear factor Y, subunit C9;nuclear factor Y, subunit C9;nuclear factor Y, subunit C9;nuclear factor Y, subunit C9"
AT2G47250.1,RNA helicase family protein
AT5G14105.1,unknown protein;Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT4G33630.1;AT4G33630.2,Protein of unknown function (DUF3506)
AT5G09660.1;AT5G09660.2,peroxisomal NAD-malate dehydrogenase 2
AT1G62740.1,"stress-inducible protein, putative"
AT5G43010.1,regulatory particle triple-A ATPase 4A
AT4G01800.1,Albino or Glassy Yellow 1
AT5G64330.1,Phototropic-responsive NPH3 family protein
AT5G45670.1,GDSL-like Lipase/Acylhydrolase superfamily protein
AT4G24440.1;AT4G24440.2,transcription initiation factor IIA gamma chain / TFIIA-gamma (TFIIA-S)
AT1G12310.1,Calcium-binding EF-hand family protein
AT5G07350.1;AT5G07350.2,TUDOR-SN protein 1
AT4G05150.1,Octicosapeptide/Phox/Bem1p family protein
AT5G13680.1,IKI3 family protein
AT2G21385.1;AT2G21385.3,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast, chloroplast envelope;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;Has 49 Blast hits to 49 proteins in 20 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 44;Viruses - 0;Other Eukaryotes - 5 (source: NCBI BLink).;unknown protein."
AT2G30710.1,Ypt/Rab-GAP domain of gyp1p superfamily protein
AT3G19760.1,eukaryotic initiation factor 4A-III
AT2G38770.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G06460.1,ubiquitin activating enzyme 2
AT5G46420.1,16S rRNA processing protein RimM family
AT1G35420.1;AT1G35420.2,alpha/beta-Hydrolases superfamily protein
AT1G26830.1,cullin 3
AT5G12410.1,THUMP domain-containing protein
AT5G19940.1;AT5G19940.2,Plastid-lipid associated protein PAP / fibrillin family protein
AT5G63870.1;AT5G63870.2,serine/threonine phosphatase 7
AT3G10410.1,SERINE CARBOXYPEPTIDASE-LIKE 49
AT5G28850.2;AT5G28900.1,Calcium-binding EF-hand family protein
AT1G09300.1,Metallopeptidase M24 family protein
AT3G53580.1,diaminopimelate epimerase family protein
AT1G28960.1;AT1G28960.2;AT1G28960.3;AT1G28960.4;AT1G28960.5,nudix hydrolase homolog 15
AT1G20200.1,PAM domain (PCI/PINT associated module) protein
AT2G20790.1,clathrin adaptor complexes medium subunit family protein
AT4G26000.1,RNA-binding KH domain-containing protein
AT4G11420.1,eukaryotic translation initiation factor 3A
AT3G06730.1,Thioredoxin z
AT2G38040.1;AT2G38040.2,acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit
AT1G36280.1,L-Aspartase-like family protein
AT1G56000.1,FAD/NAD(P)-binding oxidoreductase family protein
AT1G11480.1,eukaryotic translation initiation factor-related
AT2G39390.1,Ribosomal L29 family protein
AT5G24810.1;AT5G24810.2,ABC1 family protein
AT5G06220.1,LETM1-like protein
AT3G48110.1,glycine-tRNA ligases
AT5G66040.1,sulfurtransferase protein 16
AT2G17720.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G72170.1,Domain of unknown function (DUF543)
AT2G18740.1;AT2G18740.2;AT4G30330.1,Small nuclear ribonucleoprotein family protein
AT3G46940.1,DUTP-PYROPHOSPHATASE-LIKE 1
AT3G11560.2;AT3G11560.3;AT3G11560.4,LETM1-like protein
AT2G43770.1,Transducin/WD40 repeat-like superfamily protein
AT5G63980.1,Inositol monophosphatase family protein
AT5G09770.1,Ribosomal protein L17 family protein
AT3G60210.1,GroES-like family protein
AT3G49240.1,Pentatricopeptide repeat (PPR) superfamily protein
AT1G53670.1,methionine sulfoxide reductase B 1
AT4G39710.1;AT4G39710.2,FK506-binding protein 16-2
ATCG01090.1,NADPH dehydrogenases
AT1G29990.1,prefoldin 6
AT3G61140.1,"26S proteasome, regulatory subunit Rpn7;Proteasome component (PCI) domain"
AT1G53645.1,hydroxyproline-rich glycoprotein family protein
AT5G04900.1,NYC1-like
AT2G30390.1;AT2G30390.2,ferrochelatase 2
AT3G12760.1,"CONTAINS InterPro DOMAIN/s: Defective-in-cullin neddylation protein (InterPro:IPR014764), Protein of unknown function DUF298 (InterPro:IPR005176), UBA-like (InterPro:IPR009060);BEST Arabidopsis thaliana protein match is: Domain of unknown function (DUF298) (TAIR:AT1G15860.2);Has 857 Blast hits to 855 proteins in 202 species: Archae - 0;Bacteria - 0;Metazoa - 482;Fungi - 154;Plants - 139;Viruses - 0;Other Eukaryotes - 82 (source: NCBI BLink)."
AT5G16810.1,Protein kinase superfamily protein
AT1G47550.1;AT1G47550.2,exocyst complex component sec3A
AT5G58950.1,Protein kinase superfamily protein
AT5G55640.1,unknown protein;Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT2G17360.1;AT5G07090.1;AT5G07090.2,Ribosomal protein S4 (RPS4A) family protein
AT1G53070.1,Legume lectin family protein
AT4G23820.1,Pectin lyase-like superfamily protein
AT1G78570.1,rhamnose biosynthesis 1
ATCG01110.1,NAD(P)H dehydrogenase subunit H
AT2G34790.1,FAD-binding Berberine family protein
